ID,code,Q5
1463,330,1
1464,330,3
1465,330,6
1466,330,1
1467,330,3
1468,330,1
1469,330,7
1470,330,2
1471,330,1
1472,330,3
1475,320,3
1476,320,2
1478,320,3
1479,312,1
1480,312,1
1481,312,1
1482,113,2
1483,113,7
1484,113,
1485,350,7
1486,313,3
1487,350,3
1488,313,2
1489,313,1
1490,313,2
1491,210,1
1492,210,3
1493,220,3
1494,210,
1495,312,2
1496,350,5
1497,210,2
1498,220,1
1499,380,2
1500,210,1
1501,210,2
1502,312,1
1503,210,3
1504,210,1
1505,312,3
1506,210,
1507,210,2
1508,210,2
1509,350,3
1510,210,1
1511,380,2
1512,312,2
1513,210,1
1514,350,2
1515,210,2
1516,210,1
1517,312,2
1518,380,1
1520,311,1
1521,210,3
1522,210,1
1523,380,1
1524,210,2
1525,210,2
1526,210,3
1527,312,1
1528,380,2
1529,210,3
1530,311,2
1531,350,5
1532,210,3
1533,311,7
1536,210,3
1537,210,1
1538,311,2
1539,210,2
1540,380,2
1541,210,1
1542,210,7
1543,210,1
1544,210,3
1545,210,1
1546,210,2
1548,210,3
1549,380,1
1551,210,
1553,210,2
1554,210,7
1555,380,2
1556,311,2
1557,311,3
1559,380,2
1561,210,9
1562,210,3
1563,340,7
1564,210,2
1565,320,1
1566,311,2
1567,320,3
1568,210,3
1569,380,2
1570,313,5
1571,210,7
1572,380,1
1574,210,5
1575,210,
1576,311,5
1577,311,1
1578,210,3
1579,210,7
1580,380,1
1581,210,3
1582,313,
1583,210,3
1584,350,2
1585,210,1
1586,311,5
1587,313,8
1588,380,3
1589,210,5
1590,380,2
1591,311,8
1592,210,
1593,210,2
1594,311,1
1595,210,3
1596,380,1
1597,210,2
1598,380,2
1599,210,3
1600,311,1
1601,210,5
1602,210,
1604,311,2
1605,380,1
1606,210,3
1607,380,2
1608,311,1
1609,360,2
1610,390,1
1611,210,3
1612,313,
1614,114,1
1615,311,
1616,360,2
1617,390,5
1618,380,5
1619,114,2
1620,360,1
1622,380,2
1623,114,2
1624,360,2
1625,390,1
1626,390,2
1627,311,8
1629,114,
1630,390,3
1632,360,2
1633,114,1
1634,312,3
1635,111,2
